Data as of;Week;Region;New confirmed human infections;Total number of confirmed human infections;New confirmed human deaths;Total number of confirmed human deaths;New outbreaks in equids;Total number of outbreaks in equids;New deaths in equids;Total number of deaths in equids;New outbreaks in birds;Total number of outbreaks in birds;maxtempC;mintempC;humidity;precipMM
14/11/18;2018-W46;Lombardia;0;34;0;1;0;11;0;0;2;21;23;12;67;0.6
19/09/18;2018-W38;Molise;1;1;0;0;NA;NA;NA;NA;NA;NA;24;18;79;40.7
26/09/18;2018-W39;Molise;0;1;0;0;NA;NA;NA;NA;NA;NA;14;8;65;0.0
03/10/18;2018-W40;Molise;0;1;0;0;NA;NA;NA;NA;NA;NA;16;12;85;0.5
10/10/18;2018-W41;Molise;0;1;0;0;NA;NA;NA;NA;NA;NA;21;13;78;0.3
17/10/18;2018-W42;Molise;0;1;0;0;NA;NA;NA;NA;NA;NA;20;13;86;1.5
24/10/18;2018-W43;Molise;0;1;0;0;NA;NA;NA;NA;NA;NA;21;9;56;0.0
07/11/18;2018-W45;Molise;0;1;0;0;NA;NA;NA;NA;NA;NA;15;10;86;1.3
14/11/18;2018-W46;Molise;0;1;0;0;NA;NA;NA;NA;NA;NA;16;8;77;0.0
08/08/18;2018-W32;Piemonte;2;2;0;0;NA;NA;NA;NA;5;5;34;18;69;16.1
22/08/18;2018-W34;Piemonte;6;8;0;0;1;1;0;0;0;5;32;17;51;0.0
29/08/18;2018-W35;Piemonte;9;17;0;0;3;4;1;1;0;5;31;14;50;0.0
05/09/18;2018-W36;Piemonte;3;20;0;0;0;4;0;1;0;5;27;13;64;0.0
19/09/18;2018-W38;Piemonte;9;29;2;2;-3;1;1;2;5;10;25;15;74;8.3
26/09/18;2018-W39;Piemonte;8;37;0;2;5;6;0;2;3;13;18;5;55;0.0
03/10/18;2018-W40;Piemonte;4;41;0;2;9;15;0;2;3;16;20;9;71;0.0
10/10/18;2018-W41;Piemonte;4;45;0;2;0;15;1;3;-1;15;22;11;71;3.3
17/10/18;2018-W42;Piemonte;2;47;1;3;1;16;0;3;0;15;21;12;82;2.6
24/10/18;2018-W43;Piemonte;0;47;0;3;6;22;0;3;0;15;19;7;54;0.0
07/11/18;2018-W45;Piemonte;6;53;0;3;6;28;0;3;0;15;15;7;79;1.7
14/11/18;2018-W46;Piemonte;0;53;0;3;1;29;0;3;0;15;16;7;69;0.0
22/08/18;2018-W34;Sardegna;2;2;0;0;NA;NA;NA;NA;NA;NA;31;21;58;1.7
29/08/18;2018-W35;Sardegna;0;2;0;0;NA;NA;NA;NA;NA;NA;30;19;61;0.0
05/09/18;2018-W36;Sardegna;0;2;0;0;NA;NA;NA;NA;6;6;32;21;60;0.0
19/09/18;2018-W38;Sardegna;1;3;0;0;1;1;0;0;11;17;28;21;70;2.8
26/09/18;2018-W39;Sardegna;0;3;0;0;1;2;0;0;0;17;26;17;47;0.0
03/10/18;2018-W40;Sardegna;1;4;0;0;0;2;0;0;1;18;25;15;65;0.9
10/10/18;2018-W41;Sardegna;0;4;0;0;1;3;1;1;8;26;22;20;70;11.9
17/10/18;2018-W42;Sardegna;0;4;0;0;1;4;0;1;13;39;25;18;69;3.6
24/10/18;2018-W43;Sardegna;0;4;0;0;1;5;1;2;28;67;22;14;70;0.0
07/11/18;2018-W45;Sardegna;0;4;0;0;0;5;0;2;0;67;18;13;78;1.7
14/11/18;2018-W46;Sardegna;0;4;0;0;0;5;0;2;9;76;22;14;79;0.0
27/06/18;2018-W26;Veneto;1;1;0;0;NA;NA;NA;NA;NA;NA;26;16;63;2.3
04/07/18;2018-W27;Veneto;0;1;0;0;NA;NA;NA;NA;NA;NA;30;20;72;8.8
11/07/18;2018-W28;Veneto;0;1;0;0;NA;NA;NA;NA;NA;NA;26;19;74;4.7
18/07/18;2018-W29;Veneto;3;4;0;0;1;1;0;0;NA;NA;31;20;56;0.0
25/07/18;2018-W30;Veneto;4;8;0;0;0;1;0;0;NA;NA;33;21;59;0.0
01/08/18;2018-W31;Veneto;17;25;1;1;0;1;0;0;NA;NA;35;23;60;8.9
08/08/18;2018-W32;Veneto;33;58;0;1;15;16;0;0;NA;NA;32;23;70;7.3
22/08/18;2018-W34;Veneto;60;118;2;3;32;48;0;0;NA;NA;33;21;51;1.8
29/08/18;2018-W35;Veneto;30;148;0;3;0;48;0;0;NA;NA;30;19;52;0.0
05/09/18;2018-W36;Veneto;5;153;3;6;25;73;0;0;NA;NA;28;18;67;0.6
19/09/18;2018-W38;Veneto;45;198;3;9;14;87;0;0;NA;NA;29;19;68;0.5
26/09/18;2018-W39;Veneto;31;229;1;10;3;90;0;0;NA;NA;19;11;49;0.0
03/10/18;2018-W40;Veneto;0;229;1;11;6;96;0;0;NA;NA;24;11;52;0.0
10/10/18;2018-W41;Veneto;18;247;1;12;0;96;0;0;NA;NA;24;16;62;0.0
17/10/18;2018-W42;Veneto;10;257;0;12;0;96;0;0;NA;NA;22;17;64;0.5
24/10/18;2018-W43;Veneto;2;259;1;13;5;101;0;0;8;8;21;12;58;0.0
07/11/18;2018-W45;Veneto;8;267;0;13;0;101;0;0;0;8;18;13;83;1.4
14/11/18;2018-W46;Veneto;0;267;0;13;3;104;0;0;1;9;18;12;75;0.0
26/09/18;2018-W39;Basilicata;NA;NA;NA;NA;1;1;0;0;NA;NA;14;8;59;0.0
03/10/18;2018-W40;Basilicata;NA;NA;NA;NA;0;1;0;0;NA;NA;17;13;87;15.1
10/10/18;2018-W41;Basilicata;NA;NA;NA;NA;0;1;0;0;NA;NA;22;13;75;2.3
17/10/18;2018-W42;Basilicata;NA;NA;NA;NA;0;1;0;0;NA;NA;20;13;84;2.7
24/10/18;2018-W43;Basilicata;NA;NA;NA;NA;0;1;0;0;NA;NA;21;8;66;0.0
07/11/18;2018-W45;Basilicata;NA;NA;NA;NA;0;1;0;0;NA;NA;14;9;78;2.9
14/11/18;2018-W46;Basilicata;NA;NA;NA;NA;0;1;0;0;NA;NA;16;8;69;0.0
19/09/18;2018-W38;Lazio;NA;NA;NA;NA;1;1;0;0;NA;NA;27;17;73;8.7
26/09/18;2018-W39;Lazio;NA;NA;NA;NA;0;1;0;0;NA;NA;24;9;46;0.0
03/10/18;2018-W40;Lazio;NA;NA;NA;NA;1;2;0;0;NA;NA;26;12;58;0.0
10/10/18;2018-W41;Lazio;NA;NA;NA;NA;1;3;0;0;NA;NA;25;13;65;0.3
17/10/18;2018-W42;Lazio;NA;NA;NA;NA;0;3;0;0;NA;NA;25;16;69;0.3
24/10/18;2018-W43;Lazio;NA;NA;NA;NA;1;4;0;0;NA;NA;24;10;44;0.0
07/11/18;2018-W45;Lazio;NA;NA;NA;NA;4;8;0;0;NA;NA;17;10;81;1.7
14/11/18;2018-W46;Lazio;NA;NA;NA;NA;0;8;0;0;NA;NA;22;9;64;0.0
17/10/18;2018-W42;Puglia;NA;NA;NA;NA;3;3;0;0;NA;NA;27;19;64;1.5
24/10/18;2018-W43;Puglia;NA;NA;NA;NA;0;3;0;0;NA;NA;23;13;52;0.0
07/11/18;2018-W45;Puglia;NA;NA;NA;NA;0;3;0;0;NA;NA;19;16;72;4.7
14/11/18;2018-W46;Puglia;NA;NA;NA;NA;0;3;0;0;NA;NA;22;14;57;0.0
31/07/19;2019-W31;Emilia-Romagna;1;1;NA;NA;1;1;0;0;NA;NA;32;23;59;0.0
07/08/19;2019-W32;Emilia-Romagna;0;1;NA;NA;0;1;0;0;NA;NA;33;22;63;0.3
21/08/19;2019-W34;Emilia-Romagna;2;3;NA;NA;0;1;0;0;9;9;33;22;57;2.4
28/08/19;2019-W35;Emilia-Romagna;1;4;NA;NA;0;1;0;0;1;10;31;22;60;5.9
04/09/19;2019-W36;Emilia-Romagna;0;4;NA;NA;0;1;0;0;4;14;29;18;57;0.0
11/09/19;2019-W37;Emilia-Romagna;0;4;NA;NA;0;1;0;0;3;17;28;16;69;0.4
18/09/19;2019-W38;Emilia-Romagna;1;5;NA;NA;0;1;0;0;3;20;26;18;73;13.5
25/09/19;2019-W39;Emilia-Romagna;0;5;NA;NA;0;1;0;0;2;22;22;16;76;5.1
02/10/19;2019-W40;Emilia-Romagna;0;5;NA;NA;0;1;0;0;2;24;25;17;69;5.5
09/10/19;2019-W41;Emilia-Romagna;0;5;NA;NA;0;1;0;0;1;25;21;13;68;0.1
16/10/19;2019-W42;Emilia-Romagna;0;5;NA;NA;0;1;0;0;0;25;22;14;69;0.6
23/10/19;2019-W43;Emilia-Romagna;0;5;NA;NA;0;1;0;0;0;25;23;16;81;0.0
30/10/19;2019-W44;Emilia-Romagna;0;5;NA;NA;0;1;0;0;1;26;13;12;85;2.4
06/11/19;2019-W45;Emilia-Romagna;0;5;NA;NA;0;1;0;0;0;26;14;9;76;5.2
17/11/19;2019-W46;Emilia-Romagna;0;5;NA;NA;0;1;0;0;0;26;12;7;87;81.5
25/11/19;2019-W48;Emilia-Romagna;0;5;NA;NA;0;1;0;0;2;28;16;13;86;4.3
18/09/19;2019-W38;Friuli-Venezia Giulia;1;1;NA;NA;NA;NA;NA;NA;NA;NA;20;15;76;12.6
25/09/19;2019-W39;Friuli-Venezia Giulia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;21;16;83;14.7
02/10/19;2019-W40;Friuli-Venezia Giulia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;21;14;86;32.9
09/10/19;2019-W41;Friuli-Venezia Giulia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;18;13;79;4.0
16/10/19;2019-W42;Friuli-Venezia Giulia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;20;16;81;7.4
23/10/19;2019-W43;Friuli-Venezia Giulia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;23;17;75;0.0
30/10/19;2019-W44;Friuli-Venezia Giulia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;12;10;71;0.6
06/11/19;2019-W45;Friuli-Venezia Giulia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;16;11;80;23.9
17/11/19;2019-W46;Friuli-Venezia Giulia;0;1;NA;NA;NA;NA;NA;NA;NA;NA;15;12;81;33.1
25/11/19;2019-W48;Friuli-Venezia Giulia;1;2;NA;NA;NA;NA;NA;NA;NA;NA;16;11;75;0.0
21/08/19;2019-W34;Lombardia;NA;NA;NA;NA;NA;NA;NA;NA;1;1;24;15;89;23.0
28/08/19;2019-W35;Lombardia;NA;NA;NA;NA;NA;NA;NA;NA;0;1;24;14;85;23.6
11/09/19;2019-W37;Lombardia;NA;NA;NA;NA;1;1;1;1;0;1;23;14;88;27.4
18/09/19;2019-W38;Lombardia;NA;NA;NA;NA;0;1;0;1;0;1;17;14;98;51.7
25/09/19;2019-W39;Lombardia;NA;NA;NA;NA;0;1;0;1;3;4;23;16;90;12.4
02/10/19;2019-W40;Lombardia;1;1;NA;NA;0;1;0;1;0;4;24;13;79;17.0
09/10/19;2019-W41;Lombardia;0;1;NA;NA;1;2;1;2;4;8;25;15;81;7.0
16/10/19;2019-W42;Lombardia;0;1;NA;NA;0;2;0;2;0;8;24;16;84;6.2
23/10/19;2019-W43;Lombardia;3;4;NA;NA;0;2;0;2;0;8;23;15;85;13.5
30/10/19;2019-W44;Lombardia;1;5;NA;NA;0;2;0;2;0;8;24;15;85;7.1
06/11/19;2019-W45;Lombardia;0;5;NA;NA;0;2;0;2;0;8;25;15;83;8.6
17/11/19;2019-W46;Lombardia;0;5;NA;NA;0;2;0;2;0;8;22;14;74;1.2
25/11/19;2019-W48;Lombardia;0;5;NA;NA;0;2;0;2;0;8;22;15;86;4.2
25/09/19;2019-W39;Marche;1;1;NA;NA;NA;NA;NA;NA;NA;NA;31;21;47;0.0
02/10/19;2019-W40;Marche;0;1;NA;NA;NA;NA;NA;NA;NA;NA;29;16;49;0.0
09/10/19;2019-W41;Marche;0;1;NA;NA;NA;NA;NA;NA;NA;NA;34;21;49;0.0
16/10/19;2019-W42;Marche;0;1;NA;NA;NA;NA;NA;NA;NA;NA;25;13;35;0.0
23/10/19;2019-W43;Marche;0;1;NA;NA;NA;NA;NA;NA;NA;NA;19;11;58;0.3
30/10/19;2019-W44;Marche;0;1;NA;NA;NA;NA;NA;NA;NA;NA;25;16;67;0.0
06/11/19;2019-W45;Marche;0;1;NA;NA;NA;NA;NA;NA;NA;NA;19;10;66;0.0
17/11/19;2019-W46;Marche;0;1;NA;NA;NA;NA;NA;NA;NA;NA;14;6;76;3.5
25/11/19;2019-W48;Marche;0;1;NA;NA;NA;NA;NA;NA;NA;NA;17;11;84;0.1
21/08/19;2019-W34;Piemonte;2;2;NA;NA;1;1;0;0;1;1;34;18;45;0.0
28/08/19;2019-W35;Piemonte;0;2;NA;NA;1;2;1;1;0;1;28;17;69;5.8
04/09/19;2019-W36;Piemonte;2;4;NA;NA;0;2;0;1;4;5;25;12;69;0.0
11/09/19;2019-W37;Piemonte;0;4;NA;NA;0;2;0;1;0;5;26;12;63;0.0
18/09/19;2019-W38;Piemonte;2;6;NA;NA;0;2;0;1;19;24;28;14;70;1.7
25/09/19;2019-W39;Piemonte;3;9;NA;NA;0;2;0;1;1;25;22;12;80;0.7
02/10/19;2019-W40;Piemonte;1;10;NA;NA;0;2;0;1;0;25;21;12;84;20.5
09/10/19;2019-W41;Piemonte;0;10;NA;NA;0;2;0;1;3;28;19;9;65;0.0
16/10/19;2019-W42;Piemonte;0;10;NA;NA;0;2;0;1;2;30;17;10;79;1.5
23/10/19;2019-W43;Piemonte;0;10;NA;NA;0;2;0;1;1;31;22;13;61;0.0
30/10/19;2019-W44;Piemonte;0;10;NA;NA;0;2;0;1;6;37;15;9;84;3.4
06/11/19;2019-W45;Piemonte;0;10;NA;NA;0;2;0;1;0;37;13;6;89;15.8
17/11/19;2019-W46;Piemonte;0;10;NA;NA;0;2;0;1;0;37;11;4;92;44.5
25/11/19;2019-W48;Piemonte;0;10;NA;NA;0;2;0;1;4;41;13;7;86;6.0
21/08/19;2019-W34;Veneto;9;9;NA;NA;NA;NA;NA;NA;1;1;30;20;72;7.8
28/08/19;2019-W35;Veneto;0;9;NA;NA;NA;NA;NA;NA;0;1;31;21;66;0.2
04/09/19;2019-W36;Veneto;2;11;NA;NA;NA;NA;NA;NA;1;2;29;17;63;0.0
11/09/19;2019-W37;Veneto;7;18;NA;NA;NA;NA;NA;NA;3;5;28;17;62;0.0
18/09/19;2019-W38;Veneto;0;18;NA;NA;NA;NA;NA;NA;1;6;23;17;79;11.4
25/09/19;2019-W39;Veneto;3;21;NA;NA;2;2;2;2;0;6;20;15;85;3.8
02/10/19;2019-W40;Veneto;3;24;NA;NA;1;3;-1;1;1;7;20;14;83;15.4
09/10/19;2019-W41;Veneto;2;26;NA;NA;0;3;0;1;0;7;19;13;80;0.9
16/10/19;2019-W42;Veneto;0;26;NA;NA;0;3;0;1;1;8;21;16;81;23.4
23/10/19;2019-W43;Veneto;1;27;NA;NA;0;3;0;1;0;8;26;16;75;0.0
30/10/19;2019-W44;Veneto;1;28;NA;NA;0;3;0;1;0;8;13;11;73;0.5
06/11/19;2019-W45;Veneto;5;33;NA;NA;0;3;0;1;0;8;14;10;80;1.3
17/11/19;2019-W46;Veneto;0;33;NA;NA;0;3;0;1;0;8;14;10;87;32.9
25/11/19;2019-W48;Veneto;0;33;NA;NA;0;3;0;1;0;8;17;12;79;0.0
11/09/19;2019-W37;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;1;1;29;18;67;0.8
18/09/19;2019-W38;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;0;1;30;20;66;0.2
25/09/19;2019-W39;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;0;1;27;18;76;0.0
02/10/19;2019-W40;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;2;3;25;19;68;0.4
09/10/19;2019-W41;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;0;3;24;15;65;0.0
16/10/19;2019-W42;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;0;3;22;15;64;0.0
23/10/19;2019-W43;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;4;7;25;20;64;3.8
30/10/19;2019-W44;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;0;7;22;15;80;0.0
06/11/19;2019-W45;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;0;7;18;14;72;3.4
17/11/19;2019-W46;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;0;7;14;8;81;26.6
24/11/19;2019-W47;Sardegna;NA;NA;NA;NA;NA;NA;NA;NA;1;8;15;13;87;13.9
12/08/20;2020-W33;Emilia-Romagna;1;1;0;0;NA;NA;NA;NA;2;2;37;24;45;0.4
19/08/20;2020-W34;Emilia-Romagna;2;3;0;0;NA;NA;NA;NA;7;9;32;22;62;3.6
26/08/20;2020-W35;Emilia-Romagna;0;3;0;0;1;1;1;1;3;12;32;22;56;0.0
02/09/20;2020-W36;Emilia-Romagna;2;5;0;0;0;1;0;1;9;21;28;17;62;0.7
09/09/20;2020-W37;Emilia-Romagna;1;6;0;0;0;1;0;1;2;23;30;20;53;0.0
16/09/20;2020-W38;Emilia-Romagna;1;7;0;0;0;1;0;1;2;25;32;21;48;0.0
23/09/20;2020-W39;Emilia-Romagna;0;7;0;0;1;2;0;1;3;28;26;20;66;3.6
30/09/20;2020-W40;Emilia-Romagna;1;8;0;0;0;2;0;1;4;32;23;15;59;0.0
07/10/20;2020-W41;Emilia-Romagna;0;8;1;1;1;3;0;1;5;37;21;14;64;0.3
14/10/20;2020-W42;Emilia-Romagna;0;8;0;1;0;3;0;1;0;37;14;10;74;1.4
21/10/20;2020-W43;Emilia-Romagna;0;8;0;1;0;3;0;1;1;38;20;13;65;0.0
28/10/20;2020-W44;Emilia-Romagna;0;8;0;1;0;3;0;1;2;40;17;10;69;0.0
04/11/20;2020-W45;Emilia-Romagna;0;8;0;1;0;3;0;1;0;40;19;14;77;0.0
12/08/20;2020-W33;Lombardia;NA;NA;NA;NA;1;1;0;0;4;4;22;15;85;14.2
19/08/20;2020-W34;Lombardia;14;14;0;0;0;1;0;0;0;4;22;14;87;20.8
26/08/20;2020-W35;Lombardia;3;17;0;0;1;2;0;0;9;13;19;15;96;39.7
02/09/20;2020-W36;Lombardia;5;22;0;0;0;2;0;0;1;14;22;14;86;11.2
09/09/20;2020-W37;Lombardia;2;24;0;0;0;2;0;0;1;15;22;15;87;6.5
16/09/20;2020-W38;Lombardia;4;28;2;2;1;3;0;0;7;22;20;16;95;38.0
23/09/20;2020-W39;Lombardia;1;29;0;2;3;6;0;0;1;23;23;16;86;20.0
30/09/20;2020-W40;Lombardia;6;35;0;2;2;8;1;1;3;26;23;13;82;11.2
07/10/20;2020-W41;Lombardia;2;37;0;2;0;8;0;1;5;31;22;13;53;0.0
14/10/20;2020-W42;Lombardia;8;45;1;3;0;8;0;1;0;31;24;14;83;9.1
21/10/20;2020-W43;Lombardia;2;47;0;3;0;8;0;1;0;31;24;14;70;0.5
28/10/20;2020-W44;Lombardia;0;47;0;3;0;8;0;1;7;38;22;15;83;2.8
04/11/20;2020-W45;Lombardia;0;47;0;3;0;8;0;1;8;46;24;14;65;0.0
29/07/20;2020-W31;Piemonte;NA;NA;NA;NA;NA;NA;NA;NA;1;1;35;20;45;0.0
05/08/20;2020-W32;Piemonte;NA;NA;NA;NA;NA;NA;NA;NA;0;1;25;13;69;0.7
12/08/20;2020-W33;Piemonte;1;1;0;0;NA;NA;NA;NA;1;2;34;19;41;0.0
19/08/20;2020-W34;Piemonte;1;2;0;0;NA;NA;NA;NA;6;8;30;16;55;0.0
26/08/20;2020-W35;Piemonte;0;2;0;0;1;1;0;0;1;9;30;17;55;0.0
02/09/20;2020-W36;Piemonte;0;2;0;0;0;1;0;0;0;9;24;13;63;0.0
09/09/20;2020-W37;Piemonte;0;2;0;0;0;1;0;0;1;10;30;16;58;0.1
16/09/20;2020-W38;Piemonte;5;7;1;1;0;1;0;0;7;17;28;16;64;4.6
23/09/20;2020-W39;Piemonte;0;7;0;1;0;1;0;0;2;19;21;14;85;2.9
30/09/20;2020-W40;Piemonte;2;9;0;1;0;1;0;0;14;33;18;9;67;0.0
07/10/20;2020-W41;Piemonte;0;9;0;1;0;1;0;0;0;33;16;10;78;12.7
14/10/20;2020-W42;Piemonte;0;9;0;1;0;1;0;0;0;33;13;6;85;9.1
21/10/20;2020-W43;Piemonte;0;9;0;1;0;1;0;0;0;33;16;7;63;0.0
28/10/20;2020-W44;Piemonte;0;9;0;1;0;1;0;0;0;33;15;6;78;0.0
04/11/20;2020-W45;Piemonte;0;9;0;1;0;1;0;0;4;37;16;9;84;0.0
12/08/20;2020-W33;Veneto;NA;NA;NA;NA;NA;NA;NA;NA;1;1;32;22;63;0.6
19/08/20;2020-W34;Veneto;NA;NA;NA;NA;NA;NA;NA;NA;0;1;29;19;69;1.4
26/08/20;2020-W35;Veneto;NA;NA;NA;NA;NA;NA;NA;NA;0;1;28;19;68;0.0
02/09/20;2020-W36;Veneto;NA;NA;NA;NA;NA;NA;NA;NA;0;1;24;15;75;6.3
09/09/20;2020-W37;Veneto;NA;NA;NA;NA;NA;NA;NA;NA;2;3;29;21;72;0.0
16/09/20;2020-W38;Veneto;NA;NA;NA;NA;NA;NA;NA;NA;0;3;31;21;55;0.0
23/09/20;2020-W39;Veneto;NA;NA;NA;NA;NA;NA;NA;NA;0;3;25;18;78;5.7
30/09/20;2020-W40;Veneto;2;2;0;0;NA;NA;NA;NA;2;5;21;13;74;0.0
07/10/20;2020-W41;Veneto;1;3;0;0;NA;NA;NA;NA;0;5;19;14;75;2.2
14/10/20;2020-W42;Veneto;0;3;0;0;NA;NA;NA;NA;0;5;15;8;65;0.0
21/10/20;2020-W43;Veneto;1;4;0;0;NA;NA;NA;NA;0;5;18;11;78;0.0
28/10/20;2020-W44;Veneto;0;4;0;0;NA;NA;NA;NA;1;6;16;7;72;0.0
04/11/20;2020-W45;Veneto;0;4;0;0;NA;NA;NA;NA;0;6;17;12;78;0.0
19/08/20;2020-W34;Sardegna;NA;NA;NA;NA;1;1;0;0;NA;NA;30;21;70;0.0
26/08/20;2020-W35;Sardegna;NA;NA;NA;NA;0;1;0;0;NA;NA;29;19;72;0.0
02/09/20;2020-W36;Sardegna;NA;NA;NA;NA;0;1;0;0;2;2;26;18;57;0.0
09/09/20;2020-W37;Sardegna;NA;NA;NA;NA;0;1;0;0;0;2;31;20;66;3.7
16/09/20;2020-W38;Sardegna;NA;NA;NA;NA;0;1;0;0;0;2;27;21;70;0.0
23/09/20;2020-W39;Sardegna;NA;NA;NA;NA;0;1;0;0;0;2;26;20;72;0.6
30/09/20;2020-W40;Sardegna;NA;NA;NA;NA;0;1;0;0;0;2;22;15;67;0.0
07/10/20;2020-W41;Sardegna;NA;NA;NA;NA;0;1;0;0;0;2;21;18;70;1.7
14/10/20;2020-W42;Sardegna;NA;NA;NA;NA;0;1;0;0;0;2;20;14;77;6.0
21/10/20;2020-W43;Sardegna;NA;NA;NA;NA;0;1;0;0;0;2;23;13;68;0.0
28/10/20;2020-W44;Sardegna;NA;NA;NA;NA;0;1;0;0;1;3;18;13;75;3.1
04/11/20;2020-W45;Sardegna;NA;NA;NA;NA;0;1;0;0;0;3;20;13;80;0.0
04/08/21;2021-W31;Emilia-Romagna;1;1;0;0;NA;NA;NA;NA;2;2;31;21;56;0.1
11/08/21;2021-W32;Emilia-Romagna;2;3;0;0;NA;NA;NA;NA;2;4;40;24;41;0.0
18/08/21;2021-W33;Emilia-Romagna;5;8;0;0;NA;NA;NA;NA;1;5;30;19;51;0.0
25/08/21;2021-W34;Emilia-Romagna;6;14;0;0;NA;NA;NA;NA;5;10;30;19;53;0.0
01/09/21;2021-W35;Emilia-Romagna;3;17;0;0;NA;NA;NA;NA;14;24;31;17;56;0.1
08/09/21;2021-W36;Emilia-Romagna;2;19;0;0;NA;NA;NA;NA;2;26;34;17;33;0.0
15/09/21;2021-W37;Emilia-Romagna;3;22;0;0;NA;NA;NA;NA;1;27;33;20;50;0.0
22/09/21;2021-W38;Emilia-Romagna;3;25;0;0;NA;NA;NA;NA;0;27;23;14;63;0.0
29/09/21;2021-W39;Emilia-Romagna;2;27;0;0;NA;NA;NA;NA;0;27;26;19;63;0.1
06/10/21;2021-W40;Emilia-Romagna;1;28;0;0;NA;NA;NA;NA;0;27;21;14;78;3.2
13/10/21;2021-W41;Emilia-Romagna;0;28;0;0;NA;NA;NA;NA;0;27;19;10;59;0.1
20/10/21;2021-W42;Emilia-Romagna;1;29;0;0;NA;NA;NA;NA;0;27;22;11;61;0.0
27/10/21;2021-W43;Emilia-Romagna;0;29;0;0;NA;NA;NA;NA;0;27;19;9;48;0.0
03/11/21;2021-W44;Emilia-Romagna;0;29;0;0;NA;NA;NA;NA;39;66;16;11;81;0.1
10/11/21;2021-W45;Emilia-Romagna;0;29;0;0;NA;NA;NA;NA;1;67;14;7;66;0.0
17/11/21;2021-W46;Emilia-Romagna;0;29;0;0;NA;NA;NA;NA;0;67;11;10;86;1.5
24/11/21;2021-W47;Emilia-Romagna;0;29;0;0;NA;NA;NA;NA;0;67;11;6;67;0.0
11/08/21;2021-W32;Friuli-Venezia Giulia;1;1;0;0;NA;NA;NA;NA;NA;NA;30;23;61;0.2
18/08/21;2021-W33;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;25;20;53;0.0
25/08/21;2021-W34;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;26;18;56;0.0
01/09/21;2021-W35;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;28;16;64;0.1
08/09/21;2021-W36;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;30;18;43;0.0
15/09/21;2021-W37;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;27;20;57;0.0
22/09/21;2021-W38;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;22;13;56;0.0
29/09/21;2021-W39;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;25;19;63;0.1
06/10/21;2021-W40;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;19;13;80;8.8
13/10/21;2021-W41;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;18;10;61;0.0
20/10/21;2021-W42;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;20;13;68;0.0
27/10/21;2021-W43;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;19;9;53;0.0
03/11/21;2021-W44;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;16;13;84;5.6
10/11/21;2021-W45;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;16;7;70;0.0
17/11/21;2021-W46;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;15;10;70;0.0
24/11/21;2021-W47;Friuli-Venezia Giulia;0;1;0;0;NA;NA;NA;NA;NA;NA;11;5;57;0.0
21/07/21;2021-W29;Liguria;1;1;0;0;NA;NA;NA;NA;NA;NA;25;23;68;0.1
28/07/21;2021-W30;Liguria;0;1;0;0;NA;NA;NA;NA;NA;NA;24;21;72;0.0
11/08/21;2021-W32;Liguria;0;1;0;0;NA;NA;NA;NA;NA;NA;27;23;61;0.0
18/08/21;2021-W33;Liguria;0;1;0;0;NA;NA;NA;NA;NA;NA;27;23;66;0.1
25/08/21;2021-W34;Liguria;0;1;0;0;NA;NA;NA;NA;NA;NA;25;21;62;0.0
01/09/21;2021-W35;Liguria;0;1;0;0;NA;NA;NA;NA;NA;NA;22;15;69;0.0
